"","package","version","risk_date","risk_version","pkg_score","rank_score","news_current","has_vignettes","size_codebase","has_bug_reports_url","bugs_status","license","export_help","reverse_dependencies","downloads_1yr","dependencies","has_website","r_cmd_check","remote_checks","has_maintainer","exported_namespace","has_news","has_source_control","covr_coverage"
"10122","WrightMap","1.3",2023-06-21,"0.2.1",0.5271287,10122,1,0,NA,0,NA,NA,NA,0.470525714569983,NA,0.731058578630005,0,NA,1,1,NA,1,0,NA
"10123","RWiener","1.3-3",2023-06-21,"0.2.1",0.5271287,10123,0,0,NA,0,NA,NA,NA,0.470525714569983,NA,0.731058578630005,1,NA,1,1,NA,0,1,NA
"10124","easyr","0.5-11",2023-06-21,"0.2.1",0.5273027,10124,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0109869426305932,1,NA,0.942307692307692,1,NA,0,1,NA
"10125","BayesSUR","2.1-3",2023-06-21,"0.2.1",0.527385,10125,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0293122307513564,0,NA,0.923076923076923,1,NA,1,0,NA
"10126","CTP","3.0.1",2023-06-21,"0.2.1",0.527385,10126,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0293122307513564,0,NA,0.923076923076923,1,NA,1,0,NA
"10127","hlt","1.3.1",2023-06-21,"0.2.1",0.527385,10127,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0293122307513564,1,NA,0.923076923076923,1,NA,0,1,NA
"10128","SEIRfansy","1.1.1",2023-06-21,"0.2.1",0.527385,10128,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0293122307513564,1,NA,0.923076923076923,1,NA,0,1,NA
"10129","nonet","0.4.0",2023-06-21,"0.2.1",0.527385,10129,0,1,NA,1,NA,NA,NA,0.246376140522644,NA,0.0293122307513564,1,NA,0.923076923076923,1,NA,0,0,NA
"10130","spreadr","0.2.0",2023-06-21,"0.2.1",0.5274516,10130,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.182425523806356,0,NA,0.769230769230769,1,NA,1,0,NA
"10131","onlineforecast","1.0.1",2023-06-21,"0.2.1",0.5274516,10131,0,1,NA,1,NA,NA,NA,0.246376140522644,NA,0.182425523806356,1,NA,0.769230769230769,1,NA,0,0,NA
"10132","ATNr","1.0.2",2023-06-21,"0.2.1",0.5274516,10132,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.182425523806356,0,NA,0.769230769230769,1,NA,1,0,NA
"10133","bestridge","1.0.7",2023-06-21,"0.2.1",0.5274516,10133,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.182425523806356,0,NA,0.769230769230769,1,NA,1,0,NA
"10134","sirus","0.3.3",2023-06-21,"0.2.1",0.5274516,10134,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.182425523806356,1,NA,0.769230769230769,1,NA,0,1,NA
"10135","ASV","1.1.1",2023-06-21,"0.2.1",0.5274516,10135,1,0,NA,0,NA,NA,NA,0.246376140522644,NA,0.182425523806356,1,NA,0.769230769230769,1,NA,1,0,NA
